Age,All_Devs,Python,JavaScript
18,17784,20046,16446
19,16500,17100,16791
20,18012,20000,18942
21,20628,24744,21780
22,25206,30500,25704
23,30252,37732,29000
24,34368,41247,34372
25,38496,45372,37810
26,42000,48876,43515
27,46752,53850,46823
28,49320,57287,49293
29,53200,45000,53437
30,56000,50000,56373
31,62316,55000,62375
32,64928,70000,66674
33,67317,71496,68745
34,68748,75370,68746
35,73752,83640,74583
36,77232,84666,79000
37,78000,84392,78508
38,78508,78254,79996
39,79536,85000,80403
40,82488,87038,83820
41,88935,91991,88833
42,90000,100000,91660
43,90056,94796,87892
44,95000,97962,96243
45,90000,93302,90000
46,91633,99240,99313
47,91660,102736,91660
48,98150,112285,102264
49,98964,100771,100000
50,100000,104708,100000
51,98988,108423,91660
52,100000,101407,99240
53,108923,112542,108000
54,105000,122870,105000
55,103117,120000,104000
0,1000,1000
1,1003,996
2,999,997
3,995,994
4,1000,998
5,1008,1002
6,1004,999
7,1010,1001
8,1014,1004
9,1011,1000
10,1018,996
11,1014,995
12,1022,991
13,1020,986
14,1028,991
15,1028,997
16,1023,997
17,1031,994
18,1027,995
19,1029,999
20,1030,994
0,1000,1000
1,994,1003
2,1001,1004
3,1006,1009
4,1009,1006
5,1007,1010
6,1011,1006
7,1014,1005
8,1022,1006
9,1029,1006
10,1036,1010
11,1036,1010
12,1034,1011
13,1039,1017
14,1041,1012
15,1036,1008
16,1039,1012
17,1045,1013
18,1053,1011
19,1059,1008
20,1055,1007
21,1055,1005
22,1060,1008
0,1000,1000
1,1002,1006
2,1002,1003
3,1006,1003
4,1010,998
5,1016,995
6,1010,997
7,1018,994
8,1025,998
9,1031,999
10,1038,1004
11,1042,1007
12,1050,1006
0,1000,1000
1,995,997
2,1000,1002
3,994,1006
4,1002,1010
5,1008,1010
6,1002,1013
7,1007,1017
8,1012,1023
9,1012,1023
10,1016,1018
11,1018,1014
12,1014,1012
13,1010,1012
14,1004,1014
15,1006,1019
16,1002,1023
17,996,1026
18,1000,1024
19,996,1021
20,994,1022
21,998,1025
22,1003,1026
23,1005,1022
24,1012,1024
25,1008,1025
26,1012,1022
27,1016,1019
28,1010,1021
29,1015,1020
30,1010,1022
0,1000,1000
1,1002,998
2,1003,1001
3,1007,1006
4,1001,1001
5,1003,1001
6,1011,998
7,1008,999
8,1006,1001
9,1003,999
10,997,1005
11,993,1008
12,991,1006
13,988,1007
14,982,1012
15,976,1011
